track_name,artist,raw_lyrics,artist_verses
"Lose Yourself (Verse 1)","Eminem","...","His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface he looks calm and ready
To drop bombs, but he keeps on forgettin'
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin', how, everybody's chokin' now
The clocks run out, times up, over, blaow!
Snap back to reality, ope there goes gravity
Ope, there goes Rabbit, he choked
He's so mad, but he won't give up that easy? No
He won't have it, he knows his whole back's to these ropes
It don't matter, he's dope, he knows that, but he's broke
He's so stagnant, he knows, when he goes back to this mobile home, that's when it's
Back to the lab again, yo, this whole rhapsody
Better go capture this moment and hope it don't pass him"
"DNA. (Verse 1)","Kendrick Lamar","...","I got, I got, I got, I got loyalty, got royalty inside my DNA
Cocaine quarter piece, got war and peace inside my DNA
I got power, poison, pain and joy inside my DNA
I got hustle though, ambition, flow, inside my DNA
I was born like this, since one-five, offspring of the immaculate
The king around here, from the start, we the world's most accurate
I don't contemplate, I meditate, then off your fucking head
This that heritage, that DNA, that's getting motherfuckers dead
This that Kendrick, this that Kung Fu Kenny, this that 2-4-7
This that real, this that truth, this that way we represent
This that motivation, that aspiration, that elevation
This that dedication, that computation, that generation
This that focus, that dedication, that medication
This that calculation, that information, that transformation
This that DNA, this that DNA
Real nigga, in my DNA"
"Middle Child (Verse 1)","J. Cole","...","I'm dead in the middle of two generations
I'm little bro and big bro all at once
Just left the lab with young 21 Savage
I'm 'bout to go and meet Jigga for lunch
Had a long talk with the young nigga Kodak
He through some pointers, I gave him some back
It's funny how money and fame make 'em mad
But I'm 'bout to go and make me a rack
I'm counting my bullets, I'm loading my clips
I'm writing down names, I'm making a list
I'm checking it twice and I'm getting 'em hit
The real ones been dying, the fake ones is lit
The game is in disarray, I'd rather go back to a simpler day
Maybe I'm old, or maybe I'm stayed
To the point where the people who love me are afraid
That I'm 'bout to go off of the deep end"
"Tuscan Leather (Verse 1)","Drake","...","Comin' off the last record, I'm more established
T-Minus and 40, they built the cabin
This is the house that we live in, this is the palace
Reach for the stars, if you fall, you'll land on a planet
I'm just a product of my environment, naturally
I'm just a product of my environment, basically
I'm just a product of my environment, truthfully
I'm just a product of my environment, usually
My life is a movie, I'm just playin' my role
I'm just playin' my part, I'm just playin' my soul
I'm just playin' my cards, I'm just playin' my hand
I'm just playin' my life, I'm just playin' my man
I'm just playin' my game, I'm just playin' my world
I'm just playin' my fame, I'm just playin' my girl
I'm just playin' my heart, I'm just playin' my mind
I'm just playin' my luck, I'm just playin' my time"
"Stan (Verse 1)","Eminem","...","Dear Slim, I wrote you but you still ain't callin'
I left my cell, my pager, and my home phone at the bottom
I sent two letters back in autumn, you must not've got 'em
There probably was a problem at the post office or somethin'
Sometimes I scribble addresses too sloppy when I jot 'em
But anyways, fuck it, what's been up? Man, how's your daughter?
My girlfriend's pregnant too, I'm 'bout to be a father
If I have a daughter, guess what I'ma call her? I'ma name her Bonnie"
"Rap God (Excerpt)","Eminem","...","I'm beginnin' to feel like a Rap God, Rap God
All my people from the front to the back nod, back nod
The way I'm racin' around the track, call me NASCAR, NASCAR
Dale Earnhardt of the trailer park, the White Trash God
Kneel before General Zod, this planet's Krypton, no, Asgard, Asgard"
"HUMBLE. (Verse 1)","Kendrick Lamar","...","Nobody pray for me
It's been a day for me
Way (yeah, yeah)
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still will take you down right on your mama's couch in Polo socks"
"Alright (Verse 1)","Kendrick Lamar","...","Alls my life I has to fight, nigga
Alls my life I
Hard times like, yah
Bad trips like, yah
Nazareth, I'm fucked up, homie, you fucked up
But if God got us then we gon' be alright"
"No Role Modelz (Verse 1)","J. Cole","...","First things first, rest in peace Uncle Phil
For real, you the only father that I ever knew
I get my bitch pregnant, I'ma be a better you
Prophecies that I made way back in the Ville
Fulfilled, listen even back when we was broke my team ill"
"Wet Dreamz (Verse 1)","J. Cole","...","Let me take y'all back, man, as I do so well
Was a young boy 'bout twelve, startin' to feel myself
Had a little crush on this girl, yeah, the one with the curls
And the pretty brown eyes, every time she walk by"
"God's Plan (Verse 1)","Drake","...","Yeah they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yuh
I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me"
"In My Feelings (Verse 1)","Drake","...","Kiki, do you love me? Are you ridin'?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya, and I'm down for you always"
